neighbourhood.group,instant_bookable
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Bronx,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Queens,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Bronx,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Bronx,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Queens,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Bronx,FALSE
Brooklyn,FALSE
Queens,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Queens,FALSE
Brooklyn,FALSE
Queens,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Staten Island,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Bronx,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Queens,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Bronx,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Queens,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Bronx,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Queens,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Queens,FALSE
Queens,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Staten Island,FALSE
Brooklyn,FALSE
Bronx,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Bronx,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Staten Island,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Staten Island,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Bronx,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Bronx,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Staten Island,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Bronx,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Queens,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Bronx,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Staten Island,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Staten Island,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Bronx,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Staten Island,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Queens,FALSE
Queens,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Queens,FALSE
Queens,FALSE
Queens,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Queens,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Queens,FALSE
Queens,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Brooklyn,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
Manhattan,FALSE
